"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ITGB1",0.763268920871288,-0.321380913128157,0.182,0.223,1,"5","ITGB1"
"TMEM164",0.76359716339481,-0.281973137249323,0.091,0.122,1,"5","TMEM164"
"BTBD11",0.76359716339481,-0.366606004346727,0.091,0.122,1,"5","BTBD11"
"FAM227B",0.76359716339481,-0.275405183385966,0.091,0.122,1,"5","FAM227B"
"PLEC",0.763699675617573,0.650290333313912,0.182,0.173,1,"5","PLEC"
"IKBKB",0.76457866621008,0.654445205935661,0.182,0.157,1,"5","IKBKB"
"ELOVL5",0.76481036164696,-0.347087427388516,0.182,0.213,1,"5","ELOVL5"
"KIAA1551",0.766236232609131,-0.407480775174123,0.182,0.203,1,"5","KIAA1551"
"HSPA4",0.766529181406573,-0.373217622469131,0.091,0.117,1,"5","HSPA4"
"SINHCAF",0.766529181406573,-0.508209065680021,0.091,0.117,1,"5","SINHCAF"
"ACTN4",0.766711922285528,-0.36465049805999,0.364,0.401,1,"5","ACTN4"
"JKAMP",0.769450420537559,-0.546622683341553,0.091,0.112,1,"5","JKAMP"
"DCC",0.769450420537559,-0.51983720567279,0.091,0.112,1,"5","DCC"
"MTHFD1L",0.769510167925262,-0.311053794580765,0.182,0.218,1,"5","MTHFD1L"
"CEPT1",0.770556915127638,-0.390325191015981,0.091,0.122,1,"5","CEPT1"
"DGKZ",0.770556915127638,-0.334870554949871,0.091,0.122,1,"5","DGKZ"
"CKAP5",0.770556915127638,-0.325630183941798,0.091,0.122,1,"5","CKAP5"
"GOLGA3",0.770760878845781,0.276763022756257,0.182,0.157,1,"5","GOLGA3"
"CEP290",0.771158745557169,0.314982289075363,0.091,0.132,1,"5","CEP290"
"PSIP1",0.773622914915132,-0.46730371688376,0.091,0.117,1,"5","PSIP1"
"RABGAP1L",0.775549119742158,-0.402399947441016,0.727,0.68,1,"5","RABGAP1L"
"CTTNBP2NL",0.776127288992997,0.445288917565105,0.182,0.168,1,"5","CTTNBP2NL"
"TAF1B",0.776686888613201,-0.506081951125182,0.091,0.112,1,"5","TAF1B"
"NME3",0.776686888613201,-0.569323540351927,0.091,0.112,1,"5","NME3"
"EVA1A",0.777535190726282,-0.283451532813077,0.091,0.122,1,"5","EVA1A"
"RHOT1",0.777535190726282,-0.258008437710035,0.091,0.122,1,"5","RHOT1"
"GGNBP2",0.778243451432636,-0.54115962462123,0.182,0.198,1,"5","GGNBP2"
"FAM107B",0.779459605924992,-0.586468461886043,0.273,0.299,1,"5","FAM107B"
"CARMIL1",0.780609453794137,-0.320493587631959,0.273,0.305,1,"5","CARMIL1"
"ACAP2",0.781363020562462,-0.307926989979041,0.182,0.213,1,"5","ACAP2"
"TRPC4AP",0.782186889326391,0.452091080548051,0.182,0.168,1,"5","TRPC4AP"
"ANAPC7",0.782702311119576,0.494059799001514,0.182,0.162,1,"5","ANAPC7"
"POM121C",0.783168723336302,0.274240557145219,0.182,0.157,1,"5","POM121C"
"CSNK1G3",0.783942788672336,-0.487511603216704,0.091,0.112,1,"5","CSNK1G3"
"NSMF",0.783942788672336,-0.447835277823588,0.091,0.112,1,"5","NSMF"
"GOSR1",0.783942788672336,-0.690130090338458,0.091,0.112,1,"5","GOSR1"
"BMP2K",0.784131541278916,-0.390117473305354,0.182,0.213,1,"5","BMP2K"
"EPHA7",0.784243257342812,0.258369207934328,0.273,0.259,1,"5","EPHA7"
"SMURF2",0.786903072435005,-0.379256839707634,0.182,0.213,1,"5","SMURF2"
"MBP",0.786955107902996,0.522987376548791,0.273,0.269,1,"5","MBP"
"SRRM2",0.78759095032289,0.330679910348042,0.636,0.629,1,"5","SRRM2"
"UPF3B",0.787866691770816,-0.380158952804965,0.091,0.117,1,"5","UPF3B"
"BMS1P14",0.787866691770816,-0.374320765302818,0.091,0.117,1,"5","BMS1P14"
"SPG7",0.787989185975374,0.485995142261561,0.273,0.254,1,"5","SPG7"
"FRMD5",0.789393607599608,0.281987943684446,0.182,0.157,1,"5","FRMD5"
"FGGY",0.789632906879806,-0.430133382014064,0.182,0.198,1,"5","FGGY"
"PKD2",0.790726547011212,0.375871207641004,0.273,0.264,1,"5","PKD2"
"DNAJC10",0.791217522581096,-0.453022901894758,0.091,0.112,1,"5","DNAJC10"
"SKIL",0.791217522581096,-0.377683793610239,0.091,0.112,1,"5","SKIL"
"LETMD1",0.791217522581096,-0.477883348852636,0.091,0.112,1,"5","LETMD1"
"OSBPL3",0.793438722825151,-0.376094668606505,0.182,0.208,1,"5","OSBPL3"
"CEP295",0.795009700692868,0.278500591919642,0.182,0.162,1,"5","CEP295"
"AGO4",0.795015603886082,-0.320940169692449,0.091,0.117,1,"5","AGO4"
"PACRGL",0.795015603886082,-0.272315140174949,0.091,0.117,1,"5","PACRGL"
"SAMD9L",0.795015603886082,-0.330339661918657,0.091,0.117,1,"5","SAMD9L"
"LINC00958",0.795015603886082,-0.255460687875196,0.091,0.117,1,"5","LINC00958"
"SHLD2",0.796633841622617,-0.400069958456188,0.364,0.391,1,"5","SHLD2"
"MTMR2",0.796961041316677,-0.286036993082317,0.182,0.218,1,"5","MTMR2"
"RBM39",0.797084224687432,-0.347842995679466,0.455,0.467,1,"5","RBM39"
"CYLD",0.797210146259556,-0.296061508684268,0.182,0.142,1,"5","CYLD"
"LRRFIP2",0.798015329321084,-0.339857688027593,0.182,0.213,1,"5","LRRFIP2"
"IRF2",0.798510487281742,-0.360524704416604,0.091,0.112,1,"5","IRF2"
"DAP3",0.798861683310689,1.01932648472508,0.182,0.178,1,"5","DAP3"
"MAGI2",0.799786467721854,-0.283486649202451,0.364,0.35,1,"5","MAGI2"
"XKR6",0.800110126043013,-0.250734541533123,0.273,0.305,1,"5","XKR6"
"IGF2BP2",0.800703764763548,0.387408963695019,0.273,0.284,1,"5","IGF2BP2"
